episode,step,date,action_idx,action_val,reward,state_week_idx,state_progress,state_N_cum,state_apps_remaining,state_DVS,state_LAI,state_TAGP,state_prev_action
4,16,2020-08-11,0,0.0,130.80459228186373,16.0,0.6956521739130435,180.0,1.0,1.5070714285714288,3.187932514406241,12824.53934050304,0.0
4,17,2020-08-18,0,0.0,75.74034384333027,17.0,0.7391304347826086,180.0,1.0,1.582071428571429,2.1859107318169464,13439.360768332866,0.0
4,18,2020-08-25,0,0.0,50.54202653673383,18.0,0.782608695652174,180.0,1.0,1.643809523809524,1.037673434264898,14091.134721036538,0.0
4,19,2020-09-01,0,0.0,43.16785666500073,19.0,0.8260869565217391,180.0,1.0,1.6901666666666668,0.6912076552517731,14434.13457785388,0.0
4,20,2020-09-08,0,0.0,13.374056909049614,20.0,0.8695652173913043,180.0,1.0,1.7337380952380956,0.5433181518140902,14722.607432930141,0.0
4,21,2020-09-15,0,0.0,17.766572097460084,21.0,0.9130434782608695,180.0,1.0,1.78202380952381,0.42102121518669333,14906.671318149878,0.0
4,22,2020-09-22,0,0.0,10.117040260151043,22.0,0.9565217391304348,180.0,1.0,1.8332142857142866,0.33806637238697085,15007.178472180576,0.0
5,0,2020-04-21,0,0.0,,0.0,0.0,0.0,4.0,-0.1,0.07241999999999998,59.99999999999999,0.0
5,1,2020-04-28,0,0.0,0.0,1.0,0.043478260869565216,0.0,4.0,-0.07203921568627451,0.07241999999999998,59.99999999999999,0.0
5,2,2020-05-05,0,0.0,0.0,2.0,0.08695652173913043,0.0,4.0,-0.04782352941176471,0.07241999999999998,59.99999999999999,0.0
5,3,2020-05-12,0,0.0,0.0,3.0,0.13043478260869565,0.0,4.0,-0.02233333333333334,0.07241999999999998,59.99999999999999,0.0
5,4,2020-05-19,0,0.0,22.897444171977327,4.0,0.17391304347826086,0.0,4.0,-0.00549019607843138,0.07241999999999998,59.99999999999999,0.0
5,5,2020-05-26,0,0.0,89.06991959211257,5.0,0.21739130434782608,0.0,4.0,0.33378378378378376,0.17067484717896145,136.26752933407624,0.0
