year,step,date,dose_kg_ha,action_index,blocked,blocked_reasons,classifier_index
2014,26,2014-04-01,20.0,2,False,,484
2014,26,2014-04-01,20.0,2,False,,616
2014,26,2014-04-01,20.0,2,False,,747
2014,27,2014-04-08,70.0,7,False,,171
2014,27,2014-04-08,70.0,7,False,,416
2014,27,2014-04-08,70.0,7,False,,437
2014,27,2014-04-08,70.0,7,False,,666
2014,28,2014-04-15,60.0,6,False,,317
2014,28,2014-04-15,60.0,6,False,,404
2014,28,2014-04-15,60.0,6,False,,534
2014,28,2014-04-15,60.0,6,False,,739
2014,28,2014-04-15,60.0,6,False,,772
2014,29,2014-04-22,60.0,6,False,,404
2014,29,2014-04-22,60.0,6,False,,772
2016,27,2016-04-07,20.0,2,False,,482
2016,27,2016-04-07,20.0,2,False,,484
2016,27,2016-04-07,20.0,2,False,,616
2016,27,2016-04-07,20.0,2,False,,747
2016,28,2016-04-14,70.0,7,False,,171
2016,28,2016-04-14,70.0,7,False,,416
2016,28,2016-04-14,70.0,7,False,,437
2016,28,2016-04-14,70.0,7,False,,611
2016,28,2016-04-14,70.0,7,False,,665
2016,28,2016-04-14,70.0,7,False,,666
2016,28,2016-04-14,70.0,7,False,,763
2016,29,2016-04-21,60.0,6,False,,317
2016,29,2016-04-21,60.0,6,False,,404
2016,29,2016-04-21,60.0,6,False,,534
2016,29,2016-04-21,60.0,6,False,,739
2016,29,2016-04-21,60.0,6,False,,772
2016,30,2016-04-28,60.0,6,False,,404
2016,30,2016-04-28,60.0,6,False,,772
2017,27,2017-04-08,20.0,2,False,,482
2017,27,2017-04-08,20.0,2,False,,484
2017,27,2017-04-08,20.0,2,False,,616
2017,27,2017-04-08,20.0,2,False,,747
2017,28,2017-04-15,70.0,7,False,,171
2017,28,2017-04-15,70.0,7,False,,416
2017,28,2017-04-15,70.0,7,False,,437
2017,28,2017-04-15,70.0,7,False,,611
2017,28,2017-04-15,70.0,7,False,,666
2017,29,2017-04-22,60.0,6,False,,317
2017,29,2017-04-22,60.0,6,False,,404
2017,29,2017-04-22,60.0,6,False,,534
2017,29,2017-04-22,60.0,6,False,,739
2017,29,2017-04-22,60.0,6,False,,772
2017,30,2017-04-29,60.0,6,False,,404
2017,30,2017-04-29,60.0,6,False,,772
2018,29,2018-04-22,20.0,2,False,,482
2018,29,2018-04-22,20.0,2,False,,484
2018,29,2018-04-22,20.0,2,False,,616
2018,29,2018-04-22,20.0,2,False,,747
2018,30,2018-04-29,70.0,7,False,,416
2018,31,2018-05-06,60.0,6,False,,317
2018,31,2018-05-06,60.0,6,False,,404
2018,31,2018-05-06,60.0,6,False,,534
2018,31,2018-05-06,60.0,6,False,,739
2018,31,2018-05-06,60.0,6,False,,772
2018,32,2018-05-13,60.0,6,False,,404
2018,32,2018-05-13,60.0,6,False,,772
2019,26,2019-04-01,20.0,2,False,,482
2019,26,2019-04-01,20.0,2,False,,484
2019,26,2019-04-01,20.0,2,False,,616
2019,26,2019-04-01,20.0,2,False,,747
2019,27,2019-04-08,70.0,7,False,,171
2019,27,2019-04-08,70.0,7,False,,416
2019,27,2019-04-08,70.0,7,False,,437
2019,27,2019-04-08,70.0,7,False,,666
2019,28,2019-04-15,60.0,6,False,,317
2019,28,2019-04-15,60.0,6,False,,404
2019,28,2019-04-15,60.0,6,False,,534
2019,28,2019-04-15,60.0,6,False,,739
2019,28,2019-04-15,60.0,6,False,,772
2019,29,2019-04-22,60.0,6,False,,404
2019,29,2019-04-22,60.0,6,False,,772
